TORN TIRAFONDO C/HEXAG 3/8X2 1/2,5.93,4
SOPORTE PLAS P/CUADRO,38,33
ARTICULO DE PRUEBA,100,50
LAMPARA 40W ZOCALO,191.7,162
INTERRUPTOR MACO SENCILLO BLC,51,40
ESTAÑO ROLLO SOLDER,106,95
MANGUERA P/BOMBA 3/4X36,339,295.8
DESTORN PLANO PRET 3/16 X4,55,50
TORN ROSCA FIERO 1/2X4,25.4,23.3
ALICATE PLOMERO 10¨ INGCO,318,278
PINZA PUNTA LARGA 8´´ HECORT,186.4,155
CUBO MEC TACTIX #10 LARG,123,100
CUBO MEC TACTIX #11 LARG,123,100
CUBO MEC TACTIX #19 LARG,153,128
TAPE MAXTOOL,51,45
CADENA P/PERRO 30MM,105.9,80
AUTOMATICO SAM P/ BOMBA,212,190
CADENA P/PERRO 50MM,195,170
CABEZOTE P/ BATERIA CARRO,59.3,50
COLLAR P/PERRO SENC,85,73.92
COLLAR P/PERRO REF,127.11,113
CUBO MEC 1/2 X 24 MM,50.85,38
BREAKER EUROPEO 2P/16 AMP,131.35,96
BREAKER EUROPEO 2P/20 AMP,140,114
BREAKER EUROPEO 2P/63 AMP,190.7,165
JUEGO INSTAL CERRADURA  TACTIX,250,210
DISCO SIERRA #10,402.5,338
YEE BRONCE LISA P/MANG 3/8,68,49.69
MAQUINA P/CABLE D RED SENC,530,440
REDUC VOLT 3860,796.61,695
FITTING H 1/2 A 3/8,76.3,67
FITTING M 1/2 A 3/8,76.3,65.8
CAJA BREAKER 6 A 12,775,675
SPRAY LICO GOLD 18,106,90.2
TEE COAXIAL,25.42,16.2
MOLINO,0,1000
MANGUERA TRANS 5/16,5.51,4.5
ABRAZADERA FIERO 1-13/16 A 2-3/4,36,31
CABEZA INFLADORA (19087) M,127,109.5
NIPLE GALVANIZADO 1X4,63.6,53
NIPLE GALVANIZADO 1 1/2X4,93.3,78
PORTA ROLO AMARILLO,127,86
CANCAMO ABIERTO 5/16,14.4,11.5
CONECTOR P/MANG 1/2 X 3/8 (R/FINA),102,90
LLVE BOLA PVC FOSET 1/2 ROSC,55.1,50
CABEZA INFLADORA (19088) H,127.11,99
BOMBA LADRONA DUCATI,2797,2400
PULIDORA DUCATI 7´´,5724.57,5000
ALAMBRE ANTENA,2.5,1.2
CANCAMO L 20X70 (44988),2.5,1.9
ROTO MARTILLO DUCATI (DRH0726),5038,4400
SIERRA CIRCULAR INGCO HSG06,3644,3186
TALADRO DUCATI 3/8 DUD0510,2055,1795
TALADRO DUCATI DUD1012L,2856,2495
TALADRO DUCATI 1/2 DID0613,2970.3,2595
TALADRO DUCATI 1/2 DID0813,3772,3295
CALADORA SKILL 4400AA,2627,2295
TROPICAL ESMALT IND ALUM GL,1483,1390
TALADRO DUCATI DRH0726,5038,4400
TROPICAL ESMALT IND DORAD 21 GL,1568,1500
TROPICAL ESMALT IND ALUM 1/4,457.6,450
TROPICAL ESMALT IND BLAN 1/4,457.6,470
TROPICAL ESMALT IND NEG 1/4,487.3,471
TROPICAL ESMALT IND DORA 21 1/4,487.3,471.3
TUCAN POSITIVO NARANJA GL,720.33,640
TUCAN POSITIVO VERDE GL,720.33,695
TORN TIRAFONDO 6X1/2,0.42,0.35
CANDADO TOLSEN 50MM,161,130
PINCEL ARTIST,8.5,4.5
CEPILLO COPA 880-1045,123,63
TUCAN POSITIVO AZUL GL,720.33,650
CEMENTO FLASH CONT  8 OZ,127,102
COLA UNIV 8 OZ,114.4,92
COLA UNIV 4 OZ,85,77.4
CUBO MEC TRUP 3/8 #20,85,73.3
JUEGO LLAVES TRUP TORX 15554,297,256.4
TORN ROSCA FIERO 3/8X11/2 (44577),7.2,6
TORN ROSCA FIERO 1/2X2 (44594),17,13.5
TORN ROSCA FIERO 1/2X3,22.9,19.5
CURVA ELECT MT 1/2,21.2,14
FITTING M 3/8X1/4 C/TUERCA,55,35
FITTING M 3/8X 3/16 C/TUERC BRONCE,55,48.7
PINZA P/CABLE 100A=PAR,102,85
TORN DIABLITO 6X2 1/2,1.06,0.71
TORN ROSCA FIERO 3/8X6 (44653),21.2,17.5
ARANDELA PRESION 7/16,1.69,1.25
MEZCLADORA FOSET P/LAV 49282,530,455
CABLE JUMPER INGCO HBTCP2001,466.1,423
CHUPON D HULE 2 - 1 1/4 (49626),25.4,22
CERA FAMA INODORO SIN CAJA,55,48
LIMA COLIMA,127,107
PORTA ROLO AZUL,85,70
ADITIVO CANO 1/2 GL AZUL,445,374
